@relation reservas-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute anticipacion numeric
@attribute numeroPersonas numeric
@attribute metodoDePago {EFECTIVO,TARJETA_CREDITO,TARJETA_DEBITO,TRANSFERENCIA,PAYPAL}
@attribute clienteRecurrente {TRUE,FALSE}
@attribute diaSemana {LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO}
@attribute cancelada {cancelada,no_cancelada}

@data
365,7,TARJETA_DEBITO,TRUE,SABADO,cancelada
25,5,TARJETA_CREDITO,FALSE,SABADO,cancelada
300,10,TARJETA_DEBITO,TRUE,MARTES,cancelada
37,2,EFECTIVO,FALSE,MARTES,cancelada
363,3,TARJETA_DEBITO,TRUE,LUNES,cancelada
249,6,PAYPAL,TRUE,MIERCOLES,cancelada
168,5,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
14,1,PAYPAL,TRUE,MARTES,cancelada
5,2,TARJETA_CREDITO,TRUE,MARTES,cancelada
215,1,TRANSFERENCIA,TRUE,SABADO,cancelada
271,9,EFECTIVO,FALSE,JUEVES,cancelada
47,3,EFECTIVO,TRUE,MARTES,cancelada
143,10,EFECTIVO,TRUE,DOMINGO,cancelada
26,4,EFECTIVO,FALSE,MIERCOLES,cancelada
112,7,TRANSFERENCIA,TRUE,MARTES,cancelada
84,10,TARJETA_DEBITO,FALSE,LUNES,cancelada
78,3,TARJETA_CREDITO,FALSE,JUEVES,cancelada
231,4,PAYPAL,TRUE,LUNES,cancelada
163,9,TRANSFERENCIA,FALSE,JUEVES,cancelada
248,4,TARJETA_CREDITO,TRUE,MARTES,cancelada
327,3,EFECTIVO,FALSE,DOMINGO,cancelada
237,2,EFECTIVO,TRUE,MARTES,cancelada
135,9,TRANSFERENCIA,TRUE,DOMINGO,cancelada
187,2,PAYPAL,TRUE,VIERNES,cancelada
11,2,PAYPAL,TRUE,VIERNES,cancelada
217,6,TARJETA_DEBITO,FALSE,LUNES,cancelada
28,8,TARJETA_DEBITO,TRUE,LUNES,cancelada
310,2,EFECTIVO,FALSE,DOMINGO,cancelada
179,9,PAYPAL,FALSE,JUEVES,cancelada
78,3,TARJETA_CREDITO,FALSE,JUEVES,cancelada
87,4,EFECTIVO,TRUE,VIERNES,cancelada
314,4,EFECTIVO,FALSE,DOMINGO,cancelada
58,2,PAYPAL,FALSE,DOMINGO,cancelada
67,7,EFECTIVO,FALSE,JUEVES,cancelada
310,3,PAYPAL,TRUE,VIERNES,cancelada
102,9,TARJETA_DEBITO,FALSE,JUEVES,cancelada
102,9,TARJETA_DEBITO,FALSE,JUEVES,cancelada
239,6,TARJETA_CREDITO,TRUE,MARTES,cancelada
159,6,TARJETA_DEBITO,FALSE,SABADO,cancelada
304,8,TARJETA_CREDITO,TRUE,JUEVES,cancelada
8,8,EFECTIVO,TRUE,DOMINGO,cancelada
223,8,TARJETA_DEBITO,FALSE,MARTES,cancelada
127,2,EFECTIVO,FALSE,VIERNES,cancelada
179,9,PAYPAL,FALSE,JUEVES,cancelada
309,9,TRANSFERENCIA,FALSE,JUEVES,cancelada
127,7,TRANSFERENCIA,FALSE,DOMINGO,cancelada
191,8,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
360,9,TRANSFERENCIA,FALSE,SABADO,cancelada
42,9,TRANSFERENCIA,TRUE,MIERCOLES,cancelada
297,2,TRANSFERENCIA,FALSE,MARTES,cancelada
238,9,TRANSFERENCIA,FALSE,DOMINGO,cancelada
120,8,TARJETA_CREDITO,FALSE,MARTES,cancelada
273,8,TRANSFERENCIA,FALSE,JUEVES,cancelada
178,2,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
34,2,TARJETA_CREDITO,TRUE,DOMINGO,cancelada
203,6,TRANSFERENCIA,FALSE,MIERCOLES,cancelada
172,9,TRANSFERENCIA,FALSE,VIERNES,cancelada
248,4,EFECTIVO,TRUE,DOMINGO,cancelada
226,9,PAYPAL,FALSE,VIERNES,cancelada
152,8,TARJETA_CREDITO,FALSE,SABADO,cancelada
118,3,PAYPAL,FALSE,LUNES,cancelada
84,10,TRANSFERENCIA,TRUE,MIERCOLES,cancelada
128,10,TRANSFERENCIA,FALSE,DOMINGO,cancelada
342,1,TARJETA_DEBITO,FALSE,LUNES,cancelada
311,4,PAYPAL,FALSE,JUEVES,cancelada
134,6,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
243,10,EFECTIVO,FALSE,DOMINGO,cancelada
270,6,PAYPAL,FALSE,LUNES,cancelada
238,1,TRANSFERENCIA,TRUE,JUEVES,cancelada
313,5,TARJETA_CREDITO,TRUE,DOMINGO,cancelada
282,4,TARJETA_DEBITO,FALSE,SABADO,cancelada
127,2,TARJETA_DEBITO,FALSE,JUEVES,cancelada
302,1,PAYPAL,TRUE,JUEVES,cancelada
351,5,TARJETA_CREDITO,FALSE,JUEVES,cancelada
190,10,PAYPAL,FALSE,VIERNES,cancelada
195,6,TARJETA_DEBITO,TRUE,LUNES,cancelada
310,4,TARJETA_CREDITO,FALSE,DOMINGO,cancelada
252,9,PAYPAL,TRUE,MIERCOLES,cancelada
123,1,TARJETA_DEBITO,FALSE,LUNES,cancelada
38,9,PAYPAL,TRUE,MIERCOLES,cancelada
70,4,EFECTIVO,TRUE,LUNES,cancelada
247,1,TARJETA_CREDITO,FALSE,MARTES,cancelada
326,1,EFECTIVO,FALSE,MARTES,cancelada
20,5,TARJETA_CREDITO,TRUE,SABADO,cancelada
85,6,EFECTIVO,TRUE,LUNES,cancelada
230,9,TARJETA_CREDITO,TRUE,SABADO,cancelada
327,7,EFECTIVO,TRUE,SABADO,cancelada
126,3,EFECTIVO,TRUE,LUNES,cancelada
138,4,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
361,3,TRANSFERENCIA,TRUE,SABADO,cancelada
358,10,PAYPAL,TRUE,MIERCOLES,cancelada
311,1,TRANSFERENCIA,TRUE,MARTES,cancelada
25,9,EFECTIVO,FALSE,JUEVES,cancelada
160,10,EFECTIVO,FALSE,VIERNES,cancelada
201,1,TARJETA_CREDITO,TRUE,JUEVES,cancelada
230,9,TARJETA_CREDITO,TRUE,SABADO,cancelada
271,9,EFECTIVO,FALSE,JUEVES,cancelada
318,10,TRANSFERENCIA,FALSE,MIERCOLES,cancelada
168,5,TARJETA_DEBITO,TRUE,DOMINGO,cancelada
191,8,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
311,1,TRANSFERENCIA,TRUE,MARTES,cancelada
123,9,TRANSFERENCIA,FALSE,LUNES,cancelada
258,10,EFECTIVO,TRUE,MIERCOLES,cancelada
340,10,TARJETA_CREDITO,FALSE,MARTES,cancelada
231,4,PAYPAL,TRUE,LUNES,cancelada
134,6,TARJETA_CREDITO,FALSE,MIERCOLES,cancelada
191,8,TARJETA_DEBITO,TRUE,MIERCOLES,cancelada
206,2,TARJETA_CREDITO,FALSE,DOMINGO,cancelada
36,6,EFECTIVO,FALSE,JUEVES,cancelada
282,4,TARJETA_DEBITO,FALSE,SABADO,cancelada
127,2,EFECTIVO,FALSE,VIERNES,cancelada
5,2,TARJETA_CREDITO,TRUE,MARTES,cancelada
351,10,EFECTIVO,TRUE,LUNES,cancelada
230,9,TARJETA_CREDITO,TRUE,SABADO,cancelada
70,4,PAYPAL,TRUE,MARTES,cancelada
165,9,PAYPAL,FALSE,MARTES,cancelada
310,2,EFECTIVO,FALSE,DOMINGO,cancelada
267,5,TARJETA_CREDITO,TRUE,JUEVES,cancelada
316,4,TARJETA_CREDITO,TRUE,MIERCOLES,cancelada
229,9,TARJETA_CREDITO,TRUE,DOMINGO,cancelada
193,1,PAYPAL,FALSE,LUNES,cancelada
134,8,TRANSFERENCIA,TRUE,VIERNES,cancelada
159,10,EFECTIVO,FALSE,SABADO,cancelada
281,10,TRANSFERENCIA,TRUE,MARTES,cancelada
202,3,PAYPAL,TRUE,LUNES,cancelada
147,3,TARJETA_CREDITO,FALSE,SABADO,cancelada
271,2,TARJETA_CREDITO,FALSE,SABADO,cancelada
302,1,PAYPAL,TRUE,JUEVES,cancelada
196,5,EFECTIVO,FALSE,LUNES,cancelada
