@relation reservas_modelo_estado

@attribute anticipacion numeric
@attribute numero_personas numeric
@attribute origen_reserva {WEB,AGENCIA,TELEFONO}
@attribute metodo_pago {TARJETA_CREDITO,TRANSFERENCIA,EFECTIVO}
@attribute cliente_recurrente {true,false}
@attribute dia_semana {LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO}
@attribute estado_reserva {pagada,no_pagada}

@data
41,2,WEB,EFECTIVO,false,MARTES,pagada
9,12,WEB,EFECTIVO,true,VIERNES,no_pagada
28,1,WEB,TARJETA_CREDITO,true,MARTES,pagada
33,10,WEB,EFECTIVO,true,SABADO,no_pagada
15,8,TELEFONO,TRANSFERENCIA,true,DOMINGO,pagada
45,7,AGENCIA,TRANSFERENCIA,true,MARTES,no_pagada
7,2,AGENCIA,TARJETA_CREDITO,false,DOMINGO,no_pagada
39,5,WEB,EFECTIVO,false,VIERNES,pagada
60,7,WEB,EFECTIVO,false,DOMINGO,no_pagada
37,4,TELEFONO,TARJETA_CREDITO,true,SABADO,pagada
15,13,AGENCIA,TARJETA_CREDITO,true,DOMINGO,pagada
7,7,AGENCIA,TRANSFERENCIA,false,MARTES,no_pagada
23,4,TELEFONO,TRANSFERENCIA,true,VIERNES,pagada
35,12,WEB,TARJETA_CREDITO,false,JUEVES,no_pagada
60,11,TELEFONO,EFECTIVO,true,SABADO,no_pagada
54,13,WEB,TARJETA_CREDITO,true,DOMINGO,pagada
21,7,AGENCIA,TARJETA_CREDITO,true,VIERNES,pagada
57,12,AGENCIA,TARJETA_CREDITO,false,JUEVES,no_pagada
10,5,WEB,TARJETA_CREDITO,false,SABADO,no_pagada
58,10,AGENCIA,TRANSFERENCIA,true,MARTES,no_pagada
6,13,WEB,TARJETA_CREDITO,true,SABADO,pagada
11,13,TELEFONO,TRANSFERENCIA,true,JUEVES,no_pagada
39,8,TELEFONO,TRANSFERENCIA,true,SABADO,pagada
44,15,TELEFONO,TRANSFERENCIA,false,LUNES,no_pagada
28,3,AGENCIA,TARJETA_CREDITO,false,VIERNES,pagada
